Iteration,Temperature,BestCost,CurrentCost
0,1000,31320.7,31368.2
1,995,30828.8,30828.8
2,990.025,30828.8,31254.7
3,985.075,30828.8,31215.7
4,980.15,30436.8,30436.8
5,975.249,30088.6,30088.6
6,970.373,30088.6,30287
7,965.521,30088.6,30287
8,960.693,30088.6,30287
9,955.89,30088.6,30103.1
10,951.11,30088.6,30811.6
11,946.355,30088.6,30718.9
12,941.623,30088.6,30418
13,936.915,30073.3,30073.3
14,932.23,29309.4,29309.4
15,927.569,29309.4,29309.4
16,922.931,28466.8,28466.8
17,918.316,28466.8,28777.4
18,913.725,28466.8,28777.4
19,909.156,28466.8,28899.3
20,904.61,28466.8,28647.9
21,900.087,28324.5,28324.5
22,895.587,28324.5,29245.9
23,891.109,28324.5,29182.6
24,886.654,28324.5,29181.2
25,882.22,28324.5,29181.2
26,877.809,28324.5,29190.4
27,873.42,28324.5,29647.5
28,869.053,28324.5,29956.8
29,864.708,28324.5,29898.2
30,860.384,28324.5,30091.6
31,856.082,28324.5,29640.9
32,851.802,28324.5,29640.9
33,847.543,28324.5,29700.7
34,843.305,28324.5,29689
35,839.089,28324.5,29914.8
36,834.893,28324.5,29836.8
37,830.719,28324.5,29974.9
38,826.565,28324.5,31054.9
39,822.432,28324.5,30035
40,818.32,28324.5,30089.3
41,814.229,28324.5,29542.2
42,810.157,28324.5,28756
43,806.107,28324.5,28756
44,802.076,28324.5,28756
45,798.066,28324.5,28484.8
46,794.075,28324.5,28525.7
47,790.105,27328,27328
48,786.154,27003,27003
49,782.224,26922.3,26922.3
50,778.313,26922.3,27739.4
51,774.421,26922.3,28260.5
52,770.549,26922.3,27616.5
53,766.696,26922.3,27783.4
54,762.863,26922.3,27783.4
55,759.048,26922.3,28193.4
56,755.253,26922.3,28193.4
57,751.477,26922.3,27441.7
58,747.719,26922.3,27441.7
59,743.981,26922.3,28078.5
60,740.261,26922.3,28078.5
61,736.56,26922.3,28125.6
62,732.877,26922.3,28063.6
63,729.212,26922.3,28546.4
64,725.566,26922.3,28711.5
65,721.939,26922.3,28680.8
66,718.329,26922.3,29695.9
67,714.737,26922.3,29543.8
68,711.164,26922.3,29260.7
69,707.608,26922.3,29202.8
70,704.07,26922.3,29202.8
71,700.549,26922.3,29192.6
72,697.047,26922.3,29192.6
73,693.561,26922.3,29192.6
74,690.094,26922.3,29192.6
75,686.643,26922.3,28959.3
76,683.21,26922.3,29429.2
77,679.794,26922.3,29649.9
78,676.395,26922.3,29689.6
79,673.013,26922.3,29741.4
